"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","170110","LAS BARÍAS (D. M.)."
"","170200","MUNICIPIO NIZAO"
"","170201","NIZAO"
"","170202","PIZARRETE (D. M.)."
"","170203","SANTANA (D. M.)."
"","170300","MATANZAS"
"","170301","MATANZAS"
"180000","","PROVINCIA PUERTO PLATA"
"","180100","MUNICIPIO PUERTO PLATA"
"","180101","PUERTO PLATA (D. M.)."
"","180102","YÁSICA ARRIBA (D. M.)."
"","180103","MAIMÓN (D. M.)."
"","180200","MUNICIPIO ALTAMIRA"
"","180201","ALTAMIRA"
"","180202","RÍO GRANDE (D. M.)."
"","180300","MUNICIPIO GUANANICO"
"","180301","GUANANICO"
"","180400","MUNICIPIO IMBERT"
"","180401","IMBERT"
"","180500","MUNICIPIO LOS HIDALGOS"
"","180501","LOS HIDALGOS"
"","180502","NAVAS (D. M.)."
"","180600","MUNICIPIO LUPERÓN"
"","180601","LUPERÓN"
"","180602","LA ISABELA (D. M.)."
"","180603","BELLOSO (D. M.)."
"","","EL ESTRECHO DE LUPERÓN OMAR BROSS"
"","180604",""
"","","(D. M.)."
"","180700","MUNICIPIO SOSÚA"
