"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","220100","MUNICIPIO SAN JUAN"
"","220101","SAN JUAN"
"","220102","PEDRO CORTO (D. M.)."
"","220103","SABANETA (D. M.)."
"","220104","SABANA ALTA (D. M.)."
"","220105","EL ROSARIO (D. M.)."
"","220106","HATO DEL PADRE (D. M.)."
"","220107","GUANITO (D. M.)."
"","220108","LA JAGUA (D. M.)."
"","220109","LAS MAGUANAS-HATO NUEVO (D. M.)."
"","220110","LAS CHARCAS DE MARÍA NOVA (D. M.)."
"","220111","LAS ZANJAS (D. M.)"
"","220200","MUNICIPIO BOHECHÍO"
"","220201","BOHECHÍO"
"","220202","ARROYO CANO (D. M.)."
"","220203","YAQUE (D. M.)."
"","220300","MUNICIPIO EL CERCADO"
"","220301","EL CERCADO"
"","220302","DERRUMBADERO (D. M.)"
"","220303","BATISTA (D. M.)"
"","220400","MUNICIPIO JUAN DE HERRERA"
"","220401","JUAN DE HERRERA"
"","220402","JÍNOVA (D. M.)."
"","220500","MUNICIPIO LAS MATAS DE FARFÁN"
"","220501","LAS MATAS DE FARFÁN"
"","220502","MATAYAYA (D. M.)."
"","220503","CARRERA DE YEGUAS (D. M.)."
"","220600","MUNICIPIO VALLEJUELO"
