"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","040301","ENRIQUILLO (D. M.)."
"","040302","ARROYO DULCE (D. M.)."
"","040400","MUNICIPIO PARAÍSO"
"","040401","PARAÍSO (D. M.)."
"","040402","LOS PATOS (D. M.)."
"","040500","MUNICIPIO VICENTE NOBLE"
"","040501","VICENTE NOBLE (D. M.)."
"","040502","CANOA (D. M.)."
"","040503","QUITA CORAZA (D. M.)."
"","040504","FONDO NEGRO (D. M.)."
"","040600","MUNICIPIO EL PEÑÓN"
"","040601","EL PEÑÓN (D. M.)."
"","040700","MUNICIPIO LA CIÉNAGA"
"","040701","LA CIÉNAGA (D. M.)."
"","040702","BAHORUCO (D. M.)."
"","040800","MUNICIPIO FUNDACIÓN"
"","040801","FUNDACIÓN (D. M.)."
"","040802","PESCADERÍA (D. M.)."
"","040900","MUNICIPIO LAS SALINAS"
"","040901","LAS SALINAS (D. M.)."
"","041000","MUNICIPIO POLO"
"","041001","POLO (D. M.)."
"","041100","MUNICIPIO JAQUIMEYES"
"","041101","JAQUIMEYES (D. M.)."
"","041102","PALO ALTO (D. M.)."
"050000","","PROVINCIA DAJABÓN"
"","050100","MUNICIPIO DAJABÓN"
"Fuente: Oficina Nacional de Estadística (ONE), Departamento de Cartografía. División de Límites y Linderos.","",""
