"","","","","","","","Créd.","Fact.","Nota","Nota","","Gastos","Regím.","","","Pagos"
"","","","Largo","Tipo","","","","","","","","","","","",""
"","CAMPOS","DESCRIPCIÓN","","","Validación","","Fiscal","Consum.","Déb.","Créd.","Compras","Menor.","Espec.","Guber.","Export.","Exterior"
"","","","","","","","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr."
"","","","Max","","","","","","","","","","","","",""
"","","","","","","","31","32","33","34","41","43","44","45","46","47"
"","Unidad Bultos","Corresponde  a  la  unidad  de  medida","","","a) 
Validar 
con 
la 
Tabla 
IV","","","","","","","","","","",""
"75","","","2","NUM","","N","3","3","3","3","0","0","3","3","3","0"
"","<UnidadBulto>","en la que se encuentra los bultos.","","","(Codificación de Unidad de medida)","","","","","","","","","","",""
"","Volumen","Corresponde 
al 
volumen 
de 
los","","","a) Valor numérico de 16 enteros, 2","","","","","","","","","","",""
"76","","","18","NUM","","N","3","3","3","3","0","0","3","3","3","0"
"","<VolumenBulto>","bultos.","","","decimales; > 0","","","","","","","","","","",""
"","","Corresponde  a  la  unidad  de  medida","","","","","","","","","","","","","",""
"","Unidad Volumen","","","","a) 
Validar 
con 
la 
Tabla 
IV","","","","","","","","","","",""
"77","","en la que se encuentra el volumen de","2","NUM","","N","3","3","3","3","0","0","3","3","3","0"
"","<UnidadVolumen>","","","","(Codificación de Unidad de medida)","","","","","","","","","","",""
"","","los bultos.","","","","","","","","","","","","","",""
"","FIN ÁREA","INFORMACIONES ADICIONALES","","","","","","","","","","","","","",""
"","ÁREA","","","","","","","","","","","","","","",""
"","","TRANSPORTE","","","","","3","3","3","3","0","0","3","3","3","0"
"","<Transporte>","","","","","","","","","","","","","","",""
"","","","","","Se tiene que validar:","","","","","","","","","","",""
"","Vía Transporte","Se  especifica  si  el  transporte  es  vía","","","01: Terrestre","","","","","","","","","","",""
"78","","","2","NUM","","N","0","0","0","0","0","0","0","0","3","0"
"","<ViaTransporte>","marítima, terrestre o aérea.","","","02: Marítimo","","","","","","","","","","",""
"","","","","","03: Aérea","","","","","","","","","","",""
"","País Origen","Corresponde  al  país  de  origen  de  la","","","","","","","","","","","","","",""
"79","","","60","ALFA","a) Sin validación","N","0","0","0","0","0","0","0","0","3","0"
"","<PaisOrigen>","mercancía.","","","","","","","","","","","","","",""
"","","Corresponde a la dirección de destino","","","","","","","","","","","","","",""
"","Dirección Destino","donde sera realizado el envío del ítem","","ALFA","","","","","","","","","","","",""
"80","","","100","","a) Sin validación","N","0","0","0","0","0","0","0","0","3","0"
"","<DireccionDestino>","(distinto 
a 
la 
dirección 
del","","NUM","","","","","","","","","","","",""
"","","comprador).","","","","","","","","","","","","","",""
"","","Corresponde  al  país  destino  donde","","","","","","","","","","","","","",""
"","País Destino","","","","","","","","","","","","","","",""
"81","","sera 
realizado 
el 
envío  del 
ítem","60","ALFA","a) Sin validación","N","0","0","0","0","0","0","0","0","3","3"
"","<PaisDestino>","","","","","","","","","","","","","","",""
"","","(distinto a país del comprador).","","","","","","","","","","","","","",""
"","RNC o Identificación","","","","","","","","","","","","","","",""
"","","Corresponde  al  dato  de  RNC  o  de","","","","","","","","","","","","","",""
"","Compañía Transportista","","","ALFA","","","","","","","","","","","",""
"82","","Identificación  de 
la  compañía  que","20","","a) Sin validación","N","0","0","0","0","0","0","0","0","3","0"
"","<RNCIdentificacionCompani","","","NUM","","","","","","","","","","","",""
"","","realiza el transporte.","","","","","","","","","","","","","",""
"","aTransportista>","","","","","","","","","","","","","","",""
"","Nombre Compañía","","","","","","","","","","","","","","",""
"","","Corresponde  al  dato  del  nombre  o","","","","","","","","","","","","","",""
"","Transportista","","","ALFA","","","","","","","","","","","",""
"83","","razón 
social  de 
la 
compañía  que","150","","a) Sin validación","N","0","0","0","0","0","0","0","0","3","0"
"","<NombreCompaniaTranspor","","","NUM","","","","","","","","","","","",""
"","","realiza el transporte.","","","","","","","","","","","","","",""
"","tista>","","","","","","","","","","","","","","",""
"","Número de Viaje","Corresponde al número de viaje o el","","ALFA","","","","","","","","","","","",""
"84","","","20","","a) Sin validación","N","0","0","0","0","0","0","0","0","3","0"
"","<NumeroViaje>","número del vuelo.","","NUM","","","","","","","","","","","",""
