"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","200301","LAS TERRENAS"
"210000","","PROVINCIA SAN CRISTÓBAL"
"","210100","MUNICIPIO SAN CRISTÓBAL"
"","210101","SAN CRISTÓBAL (D. M.)."
"","210102","HATO DAMAS (D. M.)."
"","210103","HATILLO (D. M.)."
"","","MUNICIPIO SABANA GRANDE DE"
"","210200",""
"","","PALENQUE"
"","210201","SABANA GRANDE DE PALENQUE (D. M.)."
"","210300","MUNICIPIO BAJOS DE HAINA"
"","210301","BAJOS DE HAINA"
"","210302","EL CARRIL (D. M.)."
"","210303","QUITA SUEÑO (D. M.)."
"","210400","MUNICIPIO CAMBITA GARABITOS"
"","210401","CAMBITA GARABITOS"
"","210402","CAMBITA EL PUEBLECITO (D. M.)."
"","210500","MUNICIPIO VILLA ALTAGRACIA"
"","210501","VILLA ALTAGRACIA"
"","210502","SAN JOSÉ DEL PUERTO (D. M.)."
"","210503","MEDINA (D. M.)."
"","210504","LA CUCHILLA (D. M.)."
"","210600","MUNICIPIO YAGUATE"
"","210601","YAGUATE (D. M.)."
"","210602","DOÑA ANA (D. M.)"
"","210700","MUNICIPIO SAN GREGORIO DE NIGUA"
"","210701","SAN GREGORIO DE NIGUA"
"","210800","MUNICIPIO LOS CACAOS"
"","210801","LOS CACAOS (D. M.)."
"220000","","PROVINCIA SAN JUAN"
