"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","030001","MUNICIPIO NEIBA"
"","030101","NEIBA (D. M.)."
"","030102","EL PALMAR  (D. M.)."
"","030200","MUNICIPIO GALVÁN"
"","030201","GALVÁN (D. M.)."
"","030202","EL SALADO (D. M.)."
"","030300","MUNICIPIO TAMAYO"
"","030301","TAMAYO (D. M.)."
"","030302","UVILLA (D. M.)."
"","030303","SANTANA (D. M.)."
"","030304","MONSERRATE (MONTSERRAT) (D. M.)."
"","030305","CABEZA DE TORO (D. M.)."
"","030306","MENA (D. M.)."
"","030307","SANTA BÁRBARA EL 6 (D. M.)."
"","030400","MUNICIPIO VILLA JARAGUA"
"","030401","VILLA JARAGUA (D. M.)."
"","030500","MUNICIPIO LOS RÍOS"
"","030501","LOS RÍOS (D. M.)."
"","030502","LAS CLAVELLINAS (D. M.)."
"040000","","PROVINCIA BARAHONA"
"","040100","MUNICIPIO BARAHONA"
"","040101","BARAHONA (D. M.)."
"","040102","EL CACHÓN (D. M.)."
"","040103","LA GUÁZARA (D. M.)."
"","040104","VILLA CENTRAL (D. M.)."
"","040200","MUNICIPIO CABRAL"
"","040201","CABRAL (D. M.)."
"","040300","MUNICIPIO ENRIQUILLO"
