"CÓDIGO 
PROVINCIA","CÓDIGO 
MUNICIPIO","DESCRIPCIÓN"
"","110103","LA OTRA BANDA (D. M.)."
"","110104","VERÓN PUNTA CANA (D. M.) (Incluye 
Bávaro)"
"","110200","MUNICIPIO SAN RAFAEL DEL YUMA"
"","110201","SAN RAFAEL DEL YUMA (D. M.)."
"","110202","BOCA DE YUMA (D. M.)."
"","110203","BAYAHÍBE (D. M.)."
"120000","","PROVINCIA LA ROMANA"
"","120100","MUNICIPIO LA ROMANA"
"","120101","LA ROMANA (D. M.)."
"","120102","CALETA (D. M.)."
"","120200","MUNICIPIO GUAYMATE"
"","120201","GUAYMATE (D. M.)."
"","120300","MUNICIPIO VILLA HERMOSA"
"","120301","VILLA HERMOSA (D. M.)."
"","120302","CUMAYASA (D. M.)."
"130000","","PROVINCIA LA VEGA"
"","130100","MUNICIPIO LA VEGA"
"","130101","LA VEGA (D. M.)."
"","130102","RÍO VERDE ARRIBA (D. M.)."
"","130103","EL RANCHITO (D. M.)."
"","130104","TAVERAS (D. M.)."
"","130105","DON JUAN RODRÍGUEZ (D.M.)"
"","130200","MUNICIPIO CONSTANZA"
"","130201","CONSTANZA (D. M.)."
"","130202","TIREO (D. M.)."
"","130203","LA SABINA (D. M.)."
"","130300","MUNICIPIO JARABACOA"
"","130301","JARABACOA (D. M.)."
