"CÓDIGO 
PROVINCIA","CÓDIGO 
MUNICIPIO","DESCRIPCIÓN"
"","070502","RÍO LIMPIO (D. M.)."
"","070600","MUNICIPIO JUAN SANTIAGO"
"","070601","JUAN SANTIAGO (D. M.)."
"080000","","PROVINCIA EL SEIBO"
"","080100","MUNICIPIO EL SEIBO"
"","080101","EL SEIBO (D. M.)."
"","080102","PEDRO SÁNCHEZ (D. M.)."
"","080103","SAN FRANCISCO-VICENTILLO (D. M.)."
"","080104","SANTA LUCÍA (D. M.)."
"","080200","MUNICIPIO MICHES"
"","080201","MICHES (D. M.)."
"","080202","EL CEDRO (D. M.)."
"","080203","LA GINA (D. M.)."
"090000","","PROVINCIA ESPAILLAT"
"","090100","MUNICIPIO MOCA"
"","090101","MOCA (D. M.)."
"","090102","JOSÉ CONTRERAS (D. M.)."
"","090103","SAN VÍCTOR (D. M.)."
"","090104","JUAN LÓPEZ (D. M.)."
"","090105","LAS LAGUNAS (D. M.)."
"","090106","CANCA LA REYNA  (D. M.)."
"","090107","EL HIGÜERITO (D. M.)."
"","090108","MONTE DE LA JAGUA (D. M.)."
"","090109","LA ORTEGA (D. M.)."
"","090200","MUNICIPIO CAYETANO GERMOSÉN"
"","090201","CAYETANO GERMOSÉN (D. M.)."
"","090300","MUNICIPIO GASPAR HERNÁNDEZ"
"","090301","GASPAR HERNÁNDEZ (D. M.)."
