"CÓDIGO 
PROVINCIA","CÓDIGO 
MUNICIPIO","DESCRIPCIÓN"
"","310101","SAN JOSÉ DE OCOA (D. M.)."
"","310102","LA CIÉNAGA (D. M.)."
"","310103","NIZAO - LAS AUYAMAS (D. M.)."
"","310104","EL PINAR (D. M.)."
"","310105","EL NARANJAL (D. M.)."
"","310200","MUNICIPIO SABANA LARGA"
"","310201","SABANA LARGA (D. M.)."
"","310300","MUNICIPIO RANCHO ARRIBA"
"","310301","RANCHO ARRIBA (D. M.)."
"320000","","PROVINCIA SANTO DOMINGO"
"","320100","MUNICIPIO SANTO DOMINGO ESTE"
"","320101","SANTO DOMINGO ESTE (D. M.)."
"","320102","SAN LUIS (D. M.)."
"","320200","MUNICIPIO SANTO DOMINGO OESTE"
"","320201","SANTO DOMINGO OESTE (D. M.)."
"","320300","MUNICIPIO SANTO DOMINGO NORTE"
"","320301","SANTO DOMINGO NORTE (D. M.)."
"","320302","LA VICTORIA (D. M.)."
"","320400","MUNICIPIO BOCA CHICA"
"","320401","BOCA CHICA (D. M.)."
"","320402","LA CALETA (D. M.)."
"","320500","MUNICIPIO SAN ANTONIO DE GUERRA"
"","320501","SAN ANTONIO DE GUERRA (D. M.)."
"","320502","HATO VIEJO (D. M.)."
"","320600","MUNICIPIO LOS ALCARRIZOS"
"","320601","LOS ALCARRIZOS (D. M.)."
"","320602","PALMAREJO-VILLA LINDA (D. M.)."
"","320603","PANTOJA (D. M.)."
