,,,,,,,,OBLIGATORIEDAD,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,CAMPOS,DESCRIPCIÓN,Largo,Tipo,Validación,I,Fact. Créd.,Fact.,,Nota,,Gastos,Regím.,,,Pagos
,,,,,,,,Fiscal,Consum.,Nota Déb.,Créd.,Compras,Menor.,Espec.,Guber.,Export.,Exterior
,,,,,,,,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.
,,,,Max,,,,,,,,,,,,,
,,,,,,,,31,32,33,34,41,43,44,45,46,47
53,,"Código Interno del
Comprador
<CodigoInternoComprador>","Para identificación interna del
comprador, por ejemplo, código del
cliente, número de medidor, etc.",20,"ALFA
NUM",a) Sin validación,N,3,3,3,3,3,0,3,3,3,0
,,Responsable de pago,Corresponde a la identificación del,,,,,,,,,,,,,,
54,,,,20,ALFA,a) Sin validación,N,3,3,3,3,3,0,3,3,3,0
,,<ResponsablePago>,que realiza el pago del documento.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Información Adicional,,,,,,,,,,,,,,,
,,Comprador,Otra información relativa al,,ALFA,,,,,,,,,,,,
,55,,,150,,a) Sin validación,N,3,3,3,3,3,0,3,3,3,0
,,<Informacionadicionalcomprad,comprador.,,NUM,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,or>,,,,,,,,,,,,,,,
,,FIN ÁREA,COMPRADOR,,,,,,,,,,,,,,
,,"ÁREA
<InformacionesAdicionales>",INFORMACIONES ADICIONALES,,,,,3,3,3,3,0,0,3,3,3,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
56,,"Fecha Embarque
<FechaEmbarque>","Corresponde a la fecha del
embarque.",10,"ALFA
NUM","a)Fecha válida:
Formato (dd-MM-AAAA)",N,3,3,3,3,0,0,3,3,3,0
57,,"Número de Embarque
<NumeroEmbarque>","Dato correspondiente al número de
embarque.",25,"ALFA
NUM",a) Sin validación,N,3,3,3,3,0,0,3,3,3,0
58,,"Número de Contenedor
<NumeroContenedor >","Dato correspondiente al número de
contenedor.",100,"ALFA
NUM",a) Sin validación,N,3,3,3,3,0,0,3,3,3,0
59,,"Número de Referencia
<NumeroReferencia>","Dato correspondiente al número de
referencia.",20,NUM,a) Sin validación,N,3,3,3,3,0,0,3,3,3,0
60,,"Nombre Puerto Embarque
<NombrePuertoEmbarque>","Nombre del puerto de embarque de
la mercancía.",40,"ALFA
NUM",a) Sin validación,N,0,0,0,0,0,0,0,0,3,0
61,,"Condiciones de Entrega
<CondicionesEntrega>","Se refiere a los términos comerciales
fijados por el comprador y el
vendedor referente a las condicones
de entrega de las mercancías y/o
productos.
Se indica si es CIF, FOB, etc.",3,ALFA,a) Sin validación,N,0,0,0,0,0,0,0,0,3,0
62,,"Total FOB
<TotalFob>","Corresponde a la suma del valor FOB
de todas las mercancías.",18,NUM,"a) Valor numérico de 16
enteros, 2 decimales; > 0",N,0,0,0,0,0,0,0,0,3,0
63,,"Seguro
<Seguro>","Corresponde al monto total de la
prima que figura en el documento de
embarque o el documento que
certifica el valor de la prima asignada
por la compañía aseguradora.",18,NUM,"a) Valor numérico de 16
enteros, 2 decimales; > 0",N,0,0,0,0,0,0,0,0,3,0
