,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,180701,,,SOSÚA,,
,,,180702,,,CABARETE (D. M.).,,
,,,180703,,,SABANETA DE YÁSICA (D. M.).,,
,,,180800,,,MUNICIPIO VILLA ISABELA,,
,,,180801,,,VILLA ISABELA,,
,,,180802,,,ESTERO HONDO (D. M.).,,
,,,180803,,,LA JAIBA (D. M.).,,
,,,180804,,,GUALETE (D. M.).,,
,,,180900,,,MUNICIPIO VILLA MONTELLANO,,
,,,180901,,,VILLA MONTELLANO,,
,190000,,,,,,PROVINCIA HERMANAS MIRABAL,
,,,190100,,,MUNICIPIO SALCEDO,,
,,,190101,,,SALCEDO,,
,,,190102,,,JAMAO AFUERA (D. M.).,,
,,,190200,,,MUNICIPIO TENARES,,
,,,190201,,,TENARES,,
,,,190202,,,BLANCO (D. M.).,,
,,,190300,,,MUNICIPIO VILLA TAPIA,,
,,,190301,,,VILLA TAPIA,,
,200000,,,,,,PROVINCIA SAMANÁ,
,,,200100,,,MUNICIPIO SAMANÁ,,
,,,200101,,,SAMANÁ,,
,,,200102,,,EL LIMÓN (D. M.).,,
,,,200103,,,ARROYO BARRIL (D. M.).,,
,,,200104,,,LAS GALERAS (D. M.).,,
,,,200200,,,MUNICIPIO SÁNCHEZ,,
,,,200201,,,SÁNCHEZ (D. M.).,,
,,,200300,,,MUNICIPIO LAS TERRENAS,,
