,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,240300,,,MUNICIPIO FANTINO,,
,,,240301,,,FANTINO,,
,,,240400,,,MUNICIPIO LA MATA,,
,,,240401,,,LA MATA,,
,,,240402,,,LA BIJA (D. M.).,,
,,,240403,,,ANGELINA (D. M.).,,
,,,240404,,,HERNANDO ALONZO (D. M.).,,
,250000,,,,,,PROVINCIA SANTIAGO,
,,,250100,,,MUNICIPIO SANTIAGO,,
,,,250101,,,SANTIAGO,,
,,,250102,,,PEDRO GARCÍA (D. M.).,,
,,,250104,,,BAITOA (D. M.).,,
,,,250105,,,LA CANELA (D. M.).,,
,,,250106,,,SAN FRANCISCO DE JACAGUA (D. M.).,,
,,,250107,,,HATO DEL YAQUE (D. M.).,,
,,,250200,,,MUNICIPIO BISONÓ,,
,,,250201,,,VILLA BISONÓ (NAVARRETE) (D. M.).,,
,,,250300,,,MUNICIPIO JÁNICO,,
,,,250301,,,JÁNICO,,
,,,250302,,,JUNCALITO (D. M.).,,
,,,250303,,,EL CAIMITO (D. M.).,,
,,,250400,,,MUNICIPIO LICEY AL MEDIO,,
,,,250401,,,LICEY AL MEDIO,,
,,,250402,,,LAS PALOMAS (D. M.).,,
,,,250500,,,MUNICIPIO SAN JOSÉ DE LAS MATAS,,
,,,250501,,,SAN JOSÉ DE LAS MATAS,,
,,,250502,,,EL RUBIO (D. M.).,,
,,,250503,,,LA CUESTA (D. M.).,,
