,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,150302,,,VILLA ELISA (D. M.).,,
,,,150303,,,HATILLO PALMA (D. M.).,,
,,,150304,,,CANA CHAPETÓN (D. M.).,,
,,,150400,,,MUNICIPIO LAS MATAS DE SANTA CRUZ,,
,,,150401,,,LAS MATAS DE SANTA CRUZ (D. M.).,,
,,,150500,,,MUNICIPIO PEPILLO SALCEDO,,
,,,150501,,,PEPILLO SALCEDO (MANZANILLO),,
,,,150502,,,SANTA MARÍA (D. M.),,
,,,150600,,,MUNICIPIO VILLA VÁSQUEZ,,
,,,150601,,,VILLA VÁSQUEZ,,
,160000,,,,,,PROVINCIA PEDERNALES,
,,,160100,,,MUNICIPIO PEDERNALES,,
,,,160101,,,PEDERNALES,,
,,,160102,,,JOSÉ FRANCISCO PEÑA GÓMEZ (D. M.).,,
,,,160200,,,MUNICIPIO OVIEDO,,
,,,160201,,,OVIEDO,,
,,,160202,,,JUANCHO (D. M.).,,
,170000,,,,,,PROVINCIA PERAVIA,
,,,170100,,,MUNICIPIO BANÍ,,
,,,170101,,,BANÍ (D. M.).,,
,,,170102,,,MATANZAS (D. M.).,,
,,,170103,,,VILLA FUNDACIÓN (D. M.).,,
,,,170104,,,SABANA BUEY (D. M.).,,
,,,170105,,,PAYA (D. M.).,,
,,,170106,,,VILLA SOMBRERO (D. M.).,,
,,,170107,,,EL CARRETÓN (D. M.).,,
,,,170108,,,CATALINA (D. M.).,,
,,,170109,,,EL LIMONAL (D. M.).,,
