,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,090302,,,JOBA ARRIBA (D. M.).,,
,,,090303,,,VERAGUA (D. M.).,,
,,,090304,,,VILLA MAGANTE (D. M.).,,
,,,090400,,,MUNICIPIO JAMAO AL NORTE,,
,,,090401,,,JAMAO AL NORTE (D. M.).,,
,100000,,,,,,PROVINCIA INDEPENDENCIA,
,,,100100,,,MUNICIPIO JIMANÍ,,
,,,100101,,,JIMANÍ (D. M.).,,
,,,100102,,,EL LIMÓN (D. M.).,,
,,,100103,,,BOCA DE CACHÓN (D. M.).,,
,,,100200,,,MUNICIPIO DUVERGÉ,,
,,,100201,,,DUVERGÉ (D. M.).,,
,,,100202,,,VENGAN A VER (D. M.).,,
,,,100300,,,MUNICIPIO LA DESCUBIERTA,,
,,,100301,,,LA DESCUBIERTA (D. M.).,,
,,,100400,,,MUNICIPIO POSTRER RÍO,,
,,,100401,,,POSTRER RÍO (D. M.).,,
,,,100402,,,GUAYABAL (D. M.).,,
,,,100500,,,MUNICIPIO CRISTÓBAL,,
,,,100501,,,CRISTÓBAL (D. M.).,,
,,,100502,,,BATEY 8 (D. M.).,,
,,,100600,,,MUNICIPIO MELLA,,
,,,100601,,,MELLA (D. M.).,,
,,,100602,,,LA COLONIA (D. M.).,,
,110000,,,,,,PROVINCIA LA ALTAGRACIA,
,,,110100,,,MUNICIPIO HIGÜEY,,
,,,110101,,,HIGÜEY (D. M.).,,
,,,110102,,,LAS LAGUNAS DE NISIBÓN (D. M.).,,
