,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,010000,,,,,,DISTRITO NACIONAL,
,,,010100,,,MUNICIPIO SANTO DOMINGO DE GUZMÁN,,
,,,010101,,,SANTO DOMINGO DE GUZMÁN (D. M.).,,
,020000,,,020000,,,PROVINCIA AZUA,
,,,020100,,,MUNICIPIO AZUA,,
,,,020101,,,AZUA (D. M.).,,
,,,020102,,,BARRO ARRIBA (D. M.).,,
,,,020103,,,LAS BARÍAS-LA ESTANCIA (D. M.).,,
,,,020104,,,LOS JOVILLOS (D. M.).,,
,,,020105,,,PUERTO VIEJO (D. M.).,,
,,,020106,,,BARRERAS (D. M.).,,
,,,020107,,,"DOÑA EMMA BALAGUER VIUDA VALLEJO
(D. M.).",,
,,,020108,,,CLAVELLINA (D. M.).,,
,,,020109,,,LAS LOMAS (D. M.).,,
,,,020200,,,MUNICIPIO LAS CHARCAS,,
,,,020201,,,LAS CHARCAS (D. M.).,,
,,,020202,,,PALMAR DE OCOA (D. M.).,,
,,,020300,,,MUNICIPIO LAS YAYAS DE VIAJAMA,,
,,,020301,,,LAS YAYAS DE VIAJAMA (D. M.).,,
,,,020302,,,VILLARPANDO (D. M.).,,
,,,020303,,,HATO NUEVO CORTÉS (D. M.).,,
