,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,050101,,,DAJABÓN (D. M.).,,
,,,050102,,,CAÑONGO (D. M.).,,
,,,050200,,,MUNICIPIO LOMA DE CABRERA,,
,,,050201,,,LOMA DE CABRERA (D. M.).,,
,,,050202,,,CAPOTILLO (D. M.).,,
,,,050203,,,SANTIAGO DE LA CRUZ (D. M.).,,
,,,050300,,,MUNICIPIO PARTIDO,,
,,,050301,,,PARTIDO (D. M.).,,
,,,050400,,,MUNICIPIO RESTAURACIÓN,,
,,,050401,,,RESTAURACIÓN (D. M.).,,
,,,050500,,,MUNICIPIO EL PINO,,
,,,050501,,,EL PINO (D. M.).,,
,,,050502,,,MANUEL BUENO (D. M.).,,
,060000,,,,,,PROVINCIA DUARTE,
,,,060100,,,MUNICIPIO SAN FRANCISCO DE MACORÍS,,
,,,060101,,,SAN FRANCISCO DE MACORÍS (D. M.).,,
,,,060102,,,LA PEÑA (D. M.).,,
,,,060103,,,CENOVÍ (D. M.).,,
,,,060104,,,JAYA (D. M.).,,
,,,060105,,,"PRESIDENTE DON ANTONIO GUZMÁN
FERNÁNDEZ (D. M.).",,
,,,060200,,,MUNICIPIO ARENOSO,,
,,,060201,,,ARENOSO (D. M.).,,
,,,060202,,,LAS COLES (D. M.).,,
,,,060203,,,EL AGUACATE (D. M.).,,
,,,060300,,,MUNICIPIO CASTILLO,,
,,,060301,,,CASTILLO (D. M.).,,
,,,060400,,,MUNICIPIO PIMENTEL,,
,,,060401,,,PIMENTEL (D. M.).,,
