,,,,,,,,OBLIGATORIEDAD,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Fact.,,,,,,,,,
,,CAMPOS,DESCRIPCIÓN,Largo,Tipo,Validación,I,Créd.,Fact.,Nota,Nota,,Gastos,Regím.,,,Pagos
,,,,,,,,Fiscal,Cons.,Déb.,Créd.,Compras,Menor.,Espec.,Guber.,Export.,Exterior
,,,,Max,,,,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.
,,,,,,,,,,,,,,,,,
,,,,,,,,31,32,33,34,41,43,44,45,46,47
9,,,"Indica el tipo de pago del cliente.
Las facturas por entrega gratuita
(código 3), no son válidas para
crédito fiscal.",1,NUM,"a) Código Tipo:
1: Contado
2: Crédito
3: Gratuito",N,1,1,1,1,1,3,1,1,1,3
,,Tipo de Pago,,,,,,,,,,,,,,,
,,<TipoPago>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
10,,,"Solo para facturas a crédito.
Condicional a que el tipo de pago sea
a crédito.",10,"ALFA
NUM","Fecha válida:
a) Formato
dd-MM-AAAA
b) Fecha límite de pago debe ser ≥
Fecha de emisión.",N,2,2,2,2,2,0,2,2,2,3
,,Fecha Límite de Pago,,,,,,,,,,,,,,,
,,<FechaLimitePago>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,,,"Indica el tiempo establecido para el
pago de la factura y se debe
especificar si el mismo es en horas,
días, semanas, meses u otro.
Ejemplo:
1) 72 horas
2) 120 días
3) 1 semana
4) 3 meses",15,"ALFA
NUM",a) Sin Validación.,N,3,3,3,0,3,0,3,3,3,3
,,Término de Pago,,,,,,,,,,,,,,,
,,<TerminoPago>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,TABLA DE FORMAS DE,,,,,,3,3,3,0,3,0,3,3,3,3
,,,Hasta 07 repeticiones.,,,,,,,,,,,,,,
,,PAGO,,,,,,,,,,,,,,,
,,,Contiene los dos campos siguientes.,,,,,,,,,,,,,,
,,<TablaFormasPago>2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12,,,"Indica el método en que se pagará la
factura.",2,NUM,"a) Código Forma:
1: Efectivo
2: Cheque/Transferencia/
Depósito
3: Tarjeta de Débito/Crédito
4: Venta a Crédito
5: Bonos o Certificados de regalo
6: Permuta
7: Nota de crédito
8: Otras Formas de pago
Si la forma de pago corresponde al tipo
5 el e-CF debe ser tipo 32.",N,3,3,3,0,3,0,3,3,3,3
,,Forma de Pago,,,,,,,,,,,,,,,
,,<FormaPago>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
