,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,020400,,,MUNICIPIO PADRE LAS CASAS,,
,,,020401,,,PADRE LAS CASAS (D. M.).,,
,,,020402,,,LAS LAGUNAS (D. M.).,,
,,,020403,,,LA SIEMBRA (D. M.).,,
,,,020404,,,MONTE BONITO (D. M.).,,
,,,020405,,,LOS FRÍOS (D. M.).,,
,,,020500,,,MUNICIPIO PERALTA,,
,,,020501,,,PERALTA (D. M.).,,
,,,020600,,,MUNICIPIO SABANA YEGUA,,
,,,020601,,,SABANA YEGUA (D. M.).,,
,,,020602,,,PROYECTO 4 (D. M.).,,
,,,020603,,,GANADERO (D. M.).,,
,,,020604,,,PROYECTO 2-C (D. M.).,,
,,,020700,,,MUNICIPIO PUEBLO VIEJO,,
,,,020701,,,PUEBLO VIEJO (D. M.).,,
,,,020702,,,EL ROSARIO (D. M.).,,
,,,020800,,,MUNICIPIO TÁBARA ARRIBA,,
,,,020801,,,TÁBARA ARRIBA (D. M.).,,
,,,020802,,,TÁBARA ABAJO (D. M.).,,
,,,020803,,,AMIAMA GÓMEZ (D. M.).,,
,,,020804,,,LOS TOROS (D. M.).,,
,,,020900,,,MUNICIPIO GUAYABAL,,
,,,020901,,,GUAYABAL (D. M.).,,
,,,021000,,,MUNICIPIO ESTEBANÍA,,
,,,021001,,,ESTEBANÍA (D. M.).,,
,030000,,,,,,PROVINCIA BAHORUCO,
