,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,220601,,,VALLEJUELO,,
,,,220602,,,JORJILLO (D. M.).,,
,230000,,,,,,PROVINCIA SAN PEDRO DE MACORÍS,
,,,230100,,,MUNICIPIO SAN PEDRO DE MACORÍS,,
,,,230101,,,SAN PEDRO DE MACORÍS,,
,,,230200,,,MUNICIPIO LOS LLANOS,,
,,,230201,,,LOS LLANOS,,
,,,230202,,,EL PUERTO (D. M.).,,
,,,230203,,,GAUTIER (D. M.).,,
,,,230300,,,MUNICIPIO RAMÓN SANTANA,,
,,,230301,,,RAMÓN SANTANA,,
,,,230400,,,MUNICIPIO CONSUELO,,
,,,230401,,,CONSUELO,,
,,,230500,,,MUNICIPIO QUISQUEYA,,
,,,230501,,,QUISQUEYA,,
,,,230600,,,MUNICIPIO GUAYACANES,,
,,,230601,,,GUAYACANES,,
,240000,,,,,,PROVINCIA SÁNCHEZ RAMÍREZ,
,,,240100,,,MUNICIPIO COTUÍ,,
,,,240101,,,COTUÍ,,
,,,240102,,,QUITA SUEÑO (D. M.).,,
,,,240103,,,CABALLERO (D. M.).,,
,,,240104,,,COMEDERO ARRIBA (D. M.).,,
,,,240105,,,PLATANAL (D. M.).,,
,,,240106,,,ZAMBRANA ABAJO,,
,,,240200,,,MUNICIPIO CEVICOS,,
,,,240201,,,CEVICOS,,
,,,240202,,,LA CUEVA (D. M.).,,
