,CÓDIGO,,,CÓDIGO,,DESCRIPCIÓN,,
,PROVINCIA,,,MUNICIPIO,,,,
,,,270104,,,GUATAPANAL (D. M.).,,
,,,270200,,,MUNICIPIO ESPERANZA,,
,,,270201,,,ESPERANZA,,
,,,270202,,,MAIZAL (D. M.).,,
,,,270203,,,JICOMÉ (D. M.).,,
,,,270204,,,BOCA DE MAO (D. M.).,,
,,,270205,,,PARADERO (D. M.).,,
,,,270300,,,MUNICIPIO LAGUNA SALADA,,
,,,270301,,,LAGUNA SALADA (D. M.).,,
,,,270302,,,JAIBÓN (D. M.).,,
,,,270303,,,LA CAYA (D. M.).,,
,,,270304,,,CRUCE DE GUAYACANES (D. M.).,,
,280000,,,,,,PROVINCIA MONSEÑOR NOUEL,
,,,280100,,,MUNICIPIO BONAO,,
,,,280101,,,BONAO (D. M.).,,
,,,280102,,,SABANA DEL PUERTO (D. M.).,,
,,,280103,,,JUMA BEJUCAL (D. M.).,,
,,,280104,,,ARROYO TORO - MASIPEDRO (D. M.).,,
,,,280105,,,JAYACO (D. M.).,,
,,,280106,,,LA SALVIA - LOS QUEMADOS (D. M.).,,
,,,280200,,,MUNICIPIO MAIMÓN,,
,,,280201,,,MAIMÓN (D. M.).,,
,,,280300,,,MUNICIPIO PIEDRA BLANCA,,
,,,280301,,,PIEDRA BLANCA (D. M.).,,
,,,280302,,,VILLA DE SONADOR (D. M.).,,
,,,280303,,,JUAN ADRIÁN (D. M.).,,
,290000,,,,,,PROVINCIA MONTE PLATA,
,,,290100,,,MUNICIPIO MONTE PLATA,,
