"1) Tolerancia línea por línea de la sección Detalle de Bienes o Servicios.","","","","","","",""
"Sección de Detalle e-CF","","","","","","",""
"","","","","","Monto ítem","",""
"","","","","","","","Dif. por"
"","","Unidad","","","según emisor","Monto ítem",""
"","","","","","","","línea"
"Línea","Cantidad","de","Nombre ítem","Precio","e-CF","según formato",""
"","","","","","","","según e-"
"","","Medida","","","(Cant. *","e-CF",""
"","","","","","","","CF"
"","","","","","Precio)","",""
"1","5.50","Caj","Lápiz","100.33","552.80","551.82","0.99"
"2","10.25","Caj","Cuaderno","555.44","5694.00","5693.26","0.74"
"3","2.00","Caj","Borrador","333.25","667.50","666.50","1.00"
